,날짜,title,questions,answer,title_questions
2,2020-01,전세보증금 못 받고 있어요,계약기간 종료 3개월전 메세지 전달.내용증명 2차례 발송하였으나 반송.현재 계약기간 종료. 아파트 보증금 칠천만원 못 받고 있음. 집주인은 칠천만원 매매로 집을 내놓았고 그돈으로 전세금을 주겠다고 함.현재 이사예정으로 임대차등기명령 신청 후 송달 중임.참고로 집주인은 임대업자이고 깡통전세인것 같은데1. 전세금 안 받고 아파트를 넘겨 받았는데 그 방법이 좋은 건가요?집을 경매로 넘기는 것보다 나은 방법인가요?저는 이 아파트를 사고 싶지 않아서요.외곽에 있고 오래된 아파트라 매매가 안될 것 같아서요2.소송을 생각 중인데 등기완료 후 지급명령 신청을 해야하나요? 소송 순서 좀 알려주세요. 가압류신청도 하는 것 같은데 그런 순서를 알고 싶어서요3. 혹시 집이 경매로 넘어가서 제가 그집을 낙찰받게 되면 제가 돈을 내야 하는게 있나요?얼핏 듣기로 상계처리랑 세금안낸것을 제가 내야 된다는 이야기도 있고 그렇던데요.,"금액이 매우 크시네요.?더 이상을 시간 지체 하지마시고, 소송 하시는걸 추천해드립니다.?요즘 이런 피해사례가 많아 지고 있습니다. ?민/형사상 가능한 모든 방법을 동원해 도와드리고 있습니다.?대형로펌이며, 연락 주시면 친절히 상담 해드리겠습니다.?카톡 : hooni89",전세보증금 못 받고 있어요_계약기간 종료 3개월전 메세지 전달.내용증명 2차례 발송하였으나 반송.현재 계약기간 종료. 아파트 보증금 칠천만원 못 받고 있음. 집주인은 칠천만원 매매로 집을 내놓았고 그돈으로 전세금을 주겠다고 함.현재 이사예정으로 임대차등기명령 신청 후 송달 중임.참고로 집주인은 임대업자이고 깡통전세인것 같은데1. 전세금 안 받고 아파트를 넘겨 받았는데 그 방법이 좋은 건가요?집을 경매로 넘기는 것보다 나은 방법인가요?저는 이 아파트를 사고 싶지 않아서요.외곽에 있고 오래된 아파트라 매매가 안될 것 같아서요2.소송을 생각 중인데 등기완료 후 지급명령 신청을 해야하나요? 소송 순서 좀 알려주세요. 가압류신청도 하는 것 같은데 그런 순서를 알고 싶어서요3. 혹시 집이 경매로 넘어가서 제가 그집을 낙찰받게 되면 제가 돈을 내야 하는게 있나요?얼핏 듣기로 상계처리랑 세금안낸것을 제가 내야 된다는 이야기도 있고 그렇던데요.
3,2020-01,전세보증금 못 받고 있어요,계약기간 종료 3개월전 메세지 전달.내용증명 2차례 발송하였으나 반송.현재 계약기간 종료. 아파트 보증금 칠천만원 못 받고 있음. 집주인은 칠천만원 매매로 집을 내놓았고 그돈으로 전세금을 주겠다고 함.현재 이사예정으로 임대차등기명령 신청 후 송달 중임.참고로 집주인은 임대업자이고 깡통전세인것 같은데1. 전세금 안 받고 아파트를 넘겨 받았는데 그 방법이 좋은 건가요?집을 경매로 넘기는 것보다 나은 방법인가요?저는 이 아파트를 사고 싶지 않아서요.외곽에 있고 오래된 아파트라 매매가 안될 것 같아서요2.소송을 생각 중인데 등기완료 후 지급명령 신청을 해야하나요? 소송 순서 좀 알려주세요. 가압류신청도 하는 것 같은데 그런 순서를 알고 싶어서요3. 혹시 집이 경매로 넘어가서 제가 그집을 낙찰받게 되면 제가 돈을 내야 하는게 있나요?얼핏 듣기로 상계처리랑 세금안낸것을 제가 내야 된다는 이야기도 있고 그렇던데요.,적은 금액이 아니어서 몇달간 마음고생이 많으셨겠습니다지금 진행된 상황이 아파트를 이미 넘겨 받으신건가요?질문주신 세가지 사항은 구체적인 내용을 짚어가며 답변드릴 수 있을 것 같습니다카톡 born2crazy로 문의주시면 바로 도움드리겠습니다,전세보증금 못 받고 있어요_계약기간 종료 3개월전 메세지 전달.내용증명 2차례 발송하였으나 반송.현재 계약기간 종료. 아파트 보증금 칠천만원 못 받고 있음. 집주인은 칠천만원 매매로 집을 내놓았고 그돈으로 전세금을 주겠다고 함.현재 이사예정으로 임대차등기명령 신청 후 송달 중임.참고로 집주인은 임대업자이고 깡통전세인것 같은데1. 전세금 안 받고 아파트를 넘겨 받았는데 그 방법이 좋은 건가요?집을 경매로 넘기는 것보다 나은 방법인가요?저는 이 아파트를 사고 싶지 않아서요.외곽에 있고 오래된 아파트라 매매가 안될 것 같아서요2.소송을 생각 중인데 등기완료 후 지급명령 신청을 해야하나요? 소송 순서 좀 알려주세요. 가압류신청도 하는 것 같은데 그런 순서를 알고 싶어서요3. 혹시 집이 경매로 넘어가서 제가 그집을 낙찰받게 되면 제가 돈을 내야 하는게 있나요?얼핏 듣기로 상계처리랑 세금안낸것을 제가 내야 된다는 이야기도 있고 그렇던데요.
4,2020-01,전세보증금 못 받고 있어요,계약기간 종료 3개월전 메세지 전달.내용증명 2차례 발송하였으나 반송.현재 계약기간 종료. 아파트 보증금 칠천만원 못 받고 있음. 집주인은 칠천만원 매매로 집을 내놓았고 그돈으로 전세금을 주겠다고 함.현재 이사예정으로 임대차등기명령 신청 후 송달 중임.참고로 집주인은 임대업자이고 깡통전세인것 같은데1. 전세금 안 받고 아파트를 넘겨 받았는데 그 방법이 좋은 건가요?집을 경매로 넘기는 것보다 나은 방법인가요?저는 이 아파트를 사고 싶지 않아서요.외곽에 있고 오래된 아파트라 매매가 안될 것 같아서요2.소송을 생각 중인데 등기완료 후 지급명령 신청을 해야하나요? 소송 순서 좀 알려주세요. 가압류신청도 하는 것 같은데 그런 순서를 알고 싶어서요3. 혹시 집이 경매로 넘어가서 제가 그집을 낙찰받게 되면 제가 돈을 내야 하는게 있나요?얼핏 듣기로 상계처리랑 세금안낸것을 제가 내야 된다는 이야기도 있고 그렇던데요.,"?? 합의가 안되면,민사 보증금반환청구소송을 해야합니다.소제기후 사실조회로 상대방의 인적정보를 알아낼 수 있습니다.소송 제기후에, 법정연이자 12%가 가산되기 시작합니다.?문자 카톡 녹취 증인 입금내역등이 증거가 됩니다.승소후 상대방의 통장이나 자택, 전월세보증금, 급여등에압류나 추심등의 강제집행이 가능하고더 도움이 필요하면 일대일질문주세요.",전세보증금 못 받고 있어요_계약기간 종료 3개월전 메세지 전달.내용증명 2차례 발송하였으나 반송.현재 계약기간 종료. 아파트 보증금 칠천만원 못 받고 있음. 집주인은 칠천만원 매매로 집을 내놓았고 그돈으로 전세금을 주겠다고 함.현재 이사예정으로 임대차등기명령 신청 후 송달 중임.참고로 집주인은 임대업자이고 깡통전세인것 같은데1. 전세금 안 받고 아파트를 넘겨 받았는데 그 방법이 좋은 건가요?집을 경매로 넘기는 것보다 나은 방법인가요?저는 이 아파트를 사고 싶지 않아서요.외곽에 있고 오래된 아파트라 매매가 안될 것 같아서요2.소송을 생각 중인데 등기완료 후 지급명령 신청을 해야하나요? 소송 순서 좀 알려주세요. 가압류신청도 하는 것 같은데 그런 순서를 알고 싶어서요3. 혹시 집이 경매로 넘어가서 제가 그집을 낙찰받게 되면 제가 돈을 내야 하는게 있나요?얼핏 듣기로 상계처리랑 세금안낸것을 제가 내야 된다는 이야기도 있고 그렇던데요.
2492,2020-08,전세보증금,이사를 왔습니다이사올때 등기부등본이 깨끗해서 보증금반환가입을 안하고 금융기금으로 대출받아왔는데요즘 괜히 불안한 마음이듭니다경매들어가면 어쩌나.깡통전세 되면 어쩌나.이제라도 가입하는게 나을까요?,질문에 답변드리겟습니다. 전세보증보험은 비용이 발생하지만 임차인의 입장에서는 가급적 가입하시는 것이 적절합니다. 가입할 수 있는 시기는 임대차계약기간이 2분의 1 이상 남아 있을 때 가입할 수 있고 가입신청을 한다면 보증보험회사 심의에 통과해야 합니다,전세보증금_이사를 왔습니다이사올때 등기부등본이 깨끗해서 보증금반환가입을 안하고 금융기금으로 대출받아왔는데요즘 괜히 불안한 마음이듭니다경매들어가면 어쩌나.깡통전세 되면 어쩌나.이제라도 가입하는게 나을까요?
4101,2021-02,전세보증금,투룸 전세를 구해서 살고 싶어요 그런데 전세 들어가면 전세보증금이 안전할까요 전세금 보장을 어떻게 받을수 있는지요경제가 어려워서 깡통 전세가 많다고 하던데 전세를 불안해서 못 들어가겠어요,"전세금이 보장되려면 집을 담보로 대출 받은 근저당이 없는 집을 이사 들어가야 합니다.근저당이 있다면 시세를 알아봐야 하고, 근저당과 전세금을 합해서 70%는 넘지 않아야 합니다.역세권 집이면 80% 정도까지는 배당을 받을 수는 있을 것입니다.계산을 해봐야만 안전 여부를 알 수 있습니다.",전세보증금_투룸 전세를 구해서 살고 싶어요 그런데 전세 들어가면 전세보증금이 안전할까요 전세금 보장을 어떻게 받을수 있는지요경제가 어려워서 깡통 전세가 많다고 하던데 전세를 불안해서 못 들어가겠어요
4102,2021-02,전세보증금,투룸 전세를 구해서 살고 싶어요 그런데 전세 들어가면 전세보증금이 안전할까요 전세금 보장을 어떻게 받을수 있는지요경제가 어려워서 깡통 전세가 많다고 하던데 전세를 불안해서 못 들어가겠어요,안녕하세요!욕쟁이 바보아저씨-경제-천재 루다지니알렉스알파고 에요!100% 수동 AI 천재 아재 AI ㅋㅋ,전세보증금_투룸 전세를 구해서 살고 싶어요 그런데 전세 들어가면 전세보증금이 안전할까요 전세금 보장을 어떻게 받을수 있는지요경제가 어려워서 깡통 전세가 많다고 하던데 전세를 불안해서 못 들어가겠어요
5619,2021-06,전세보증금,"이번에 청년전세대출 받고 전세로 들어가게되는대요.계약금이 550만원인데 확정일자까지 받은상태인데, 저의 돈은 지켜지나요? 전세보증보험 들어도 혜택받을수 있나요?","안녕하세요 은평구에서 부동산을 운영하는 공인중개사 이소장입니다.?요즘 전세사기가 많으니 가급적 전세금반환보증 가입을 해서 안전하게 거주하시길 바랍니다.전세금반환보증은 모든 집이 가입이 되는것이 아니라 각 보증사의 가입조건에 맞아야 가능합니다.?네이버에 ""high주택 이소장"" 검색하셔서 해당 블로그 공지글에 전세금반환보증에 대한 상세한 포스팅이 있으니 참고하시어 전세금반환보증을 꼭 가입하시길 바랍니다.?답변으로 궁금증이 해소되셨다면 ""채택""은 매너가 아닐까요?^^","전세보증금_이번에 청년전세대출 받고 전세로 들어가게되는대요.계약금이 550만원인데 확정일자까지 받은상태인데, 저의 돈은 지켜지나요? 전세보증보험 들어도 혜택받을수 있나요?"
6214,2021-07,전세보증금,"? 전세보증금 문의합니다.<kb시세> 를 통해 아파트 전세가를 기준으로 그 금액이 넘을경우 전세보증금을 들수 없다고 하는데 궁금해서 문의드립니다.캡쳐 분입니다.기준을 상위평균가 2억2천을를 넘으면 안되는지, 아니면 전세가 2억500을 넘지 않으면 되는지 궁금합니다.?전세 살고 있는데 보증보험들때 이런거 생각안하고 들었는데 들어져서요 ㅠㅠ 혹시 못받을까봐 걱정됩니다.전세를 가입하기전에 전세보증이 되는지 확인하고 전세계약을 해야하는건가요??",<답변없음>,"전세보증금_? 전세보증금 문의합니다.<kb시세> 를 통해 아파트 전세가를 기준으로 그 금액이 넘을경우 전세보증금을 들수 없다고 하는데 궁금해서 문의드립니다.캡쳐 분입니다.기준을 상위평균가 2억2천을를 넘으면 안되는지, 아니면 전세가 2억500을 넘지 않으면 되는지 궁금합니다.?전세 살고 있는데 보증보험들때 이런거 생각안하고 들었는데 들어져서요 ㅠㅠ 혹시 못받을까봐 걱정됩니다.전세를 가입하기전에 전세보증이 되는지 확인하고 전세계약을 해야하는건가요??"
6530,2021-08,전세 보증금 돌려받기,2019년 2월 원룸 전세 1년 계약(보증금 5천만원) 후 묵시적 연장으로 지금까지 거주중입니다. 당시 등기부등본상 채권 2억8천8백만원 있었던 상태입니다.10월에 이사 가려고 집주인에게 6월에 방 빼달라는 의사를 밝혔고 집주인은 새로운 임차인을 못 구하면 보증금을 줄 수 없다고 합니다.제가 열심히 방을 내놔서 계약 직전까지 갔다가 파기되는 경우가 수 차례 있어서 아무래도 이상하다는 생각에 등기부등본을 떼어보니 채권이 5억3천으로 늘었네요.깡통전세 건물이 된 겁니다.부동산 여러 곳에 방 빼달라고 어필해도 깡통전세니까 소개 자체도 해주는 모양이에요..전세보증금을 꼭 받아야하는데 어떻게 하면 될지 도움 부탁드립니다..,"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 이성찬 입니다.?저도 예전에 전세보증금을 제떄 반환받지 못한적이 있어 그 심정 충분히 이해합니다.특히 요즘처럼 코로나로 인해 경기가 어려운 경우 더 불안하실 텐데요 전세세입자분의 마음을 생각하며 답변드리오니 도움 되시길 바랍니다.?일단 질문자분의 계약이 언제 종료되는 것인지 확인해야합니다.전세계약은 계약갱신거절 또는 해지통보가 법이 정한 기간내에 이루어져야만 계약기간이 종료됩니다.?현재 질문자분의 글로써는 갱신거절이나 해지사실에 대한 정보를 파악할수 없습니다.계약종료일로 정한 날로부터 6개월에서 1개월 전(또는 2개월)까지 해지통보를 하셨는지 체크해보는것이 필요합니다.?질문자님의 계약이 종료된 것으로 확인이 되면 신속하게 전세보증금반환소송을 제기하시는 것이 좋습니다.집주인이 전세보증금을 돌려주지 않는것은 아무런 법적 근거가 없습니다.특히나 질문자의 경우처럼 깡통전세라는 것은 후속 세입자가 들어올 가능성이 없다는 말과 같습니다.?전세계약이 끝났을 경우, 다음 세입자가 구해지는 여부와 상관 없이 세입자에게 전세보증금금반환 진행해야하고,세입자는 집주인에게 집을 돌려줘야 합니다.?법적인 의무가 이렇게 존재 함에도 불구하고, 집주인으로 부터 전세보증금반환의 임의이행을 기대하기 어렵다면,질문자가 말하는 것처럼 반드시 전세보증금반환소송을 진행해야합니다.계약이 종료된 직후 전세보증금반환소송을 진행할수 있는데요.?전세보증금반환소송을 진행하게 될 경우 변호사선임비용과 인지대, 송달료 등이 발생하게 되고 구체적인 비용에 대해서는 변호사와의 상담을 통해 알아보셔야 합니다.?전세보증금반환소송 기간은 사건마다 다르기지만, 통상적으로 6개월 이내에 판결이 나오며, 오래간다면 8개월 에서 12개월 이 소요됩니다. ?하지만 대부분이 소송이 시작되면, 소송비용, 지연이자가 부담스럽기 때문에 집주인은 어떻게든 돈을 구해서 1~2개월 이내에 전세보증금을 돌려주는것이 일반적입니다.?전세보증금반환소송과 관련하여 상담을 원하시면 아래의 전화번호로 연락주시기 바랍니다. 감사합니다.",전세 보증금 돌려받기_2019년 2월 원룸 전세 1년 계약(보증금 5천만원) 후 묵시적 연장으로 지금까지 거주중입니다. 당시 등기부등본상 채권 2억8천8백만원 있었던 상태입니다.10월에 이사 가려고 집주인에게 6월에 방 빼달라는 의사를 밝혔고 집주인은 새로운 임차인을 못 구하면 보증금을 줄 수 없다고 합니다.제가 열심히 방을 내놔서 계약 직전까지 갔다가 파기되는 경우가 수 차례 있어서 아무래도 이상하다는 생각에 등기부등본을 떼어보니 채권이 5억3천으로 늘었네요.깡통전세 건물이 된 겁니다.부동산 여러 곳에 방 빼달라고 어필해도 깡통전세니까 소개 자체도 해주는 모양이에요..전세보증금을 꼭 받아야하는데 어떻게 하면 될지 도움 부탁드립니다..
7187,2021-10,전세 보증금 못 받게 될까요?,전세 들어갈 때 근저당 없고 확정일자까지 받은 상황에서 전세금을 못 돌려받게 되는 경우는 어떻게 일이 잘못됐을때 인가요?근저당이 있다면 주인이 돈을 못 갚아서 임차인이 돈을 못 받게 되는 문제가 생기지만근저당이 없는 경우는 잘못될 수 있는 예시가 없지 않나 싶어서요괜찮겠지 싶어 보증보험 가입 안했는데 지금은 가입할 수 있는 기간이 지났어요 좀 걱정이 되어 여쭤봅니다,"근저당없이 선순위로 전입신고와확정일자를받았다면,경매가된다해도 절대안전합니다.전세보증금을못받을일은없습니다",전세 보증금 못 받게 될까요?_전세 들어갈 때 근저당 없고 확정일자까지 받은 상황에서 전세금을 못 돌려받게 되는 경우는 어떻게 일이 잘못됐을때 인가요?근저당이 있다면 주인이 돈을 못 갚아서 임차인이 돈을 못 받게 되는 문제가 생기지만근저당이 없는 경우는 잘못될 수 있는 예시가 없지 않나 싶어서요괜찮겠지 싶어 보증보험 가입 안했는데 지금은 가입할 수 있는 기간이 지났어요 좀 걱정이 되어 여쭤봅니다
