,날짜,title,questions,answer,title_questions
19234,2020-03,500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?,500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?,"전세 담보 상담할수 있는 대출 상품은 있습니다.​정식등록된 등록허가업체로 여러업체 조건먼저 확인하시고 질문자님께 유리한 곳으로 선정하여​진행하시면 승인률이 높으시니 등록허가업체로 조건 검토해보세요​안전한 업체에서 상담이 중요하시오니 참고하시고, ​사전에 등록허가업체 여부는 필히 체크하시면 좋습니다.",500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?_500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?
19235,2020-03,500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?,500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?,전세 담보 알아보실수 있는 대출 상품은 있습니다.​대출을 진행하는데있어서 주의하셔야될점은 선입금및 카드 통장 ​수수료요구하는곳등은 사기니 주의하시고 신중하게 대출을​알아보실것을 권장해드립니다.​안전하게 허가업체에서 조건과 한도를 검토 하시고 결정하시는게 중요합니다.,500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?_500으로 신혼부부전세대출이나LH전세대출이나 융자(담보대출)받을 수 잇나요?현ㅈㅐ 시댁에서 살고 있습니다5개월된 아이가 잇고 뱃속에 임신중인데저도 모르게 스트레스가 쌓여자꾸 출혈이 있네요.. 한시라도 빨리나가고 싶은데 방법있을까요?
104,2020-01,신혼부부전세대출문의좀하려구요,신혼부부 전세자금대출좀알아보려구합니다올해5월쯤 혼인신고예정이구요아내는 지금 뱃속에 아이가잇구요 임신중이고 저는 일용직 건설현장에서 미장기능공으로 일하구잇구요나이는 92년생 29살입니다 아내는 멕시코로이민을갓다가 들어온지 4개월정도됫구요 2개월뒤면 건강보험이 취득되구요가지고잇는금액이 2천정도 되구요 전셋집이 1억 2천정도 되는데 알아본곳이요 이자는얼마나나오고 금리는얼마나될지가궁금하네요,전국민에게 전세대출/디딤돌/보금자리론/깡통전세 계산법 알린 바보아저씨 입니다. 급하게 매크로에 채택 안하고 답변달 수 있게 시간내 주셔서 감사드려요.​우선 4대보험 직장 첫월급 x 12개월해서연봉 한도가 산정되는 거구요.,신혼부부전세대출문의좀하려구요_신혼부부 전세자금대출좀알아보려구합니다올해5월쯤 혼인신고예정이구요아내는 지금 뱃속에 아이가잇구요 임신중이고 저는 일용직 건설현장에서 미장기능공으로 일하구잇구요나이는 92년생 29살입니다 아내는 멕시코로이민을갓다가 들어온지 4개월정도됫구요 2개월뒤면 건강보험이 취득되구요가지고잇는금액이 2천정도 되구요 전셋집이 1억 2천정도 되는데 알아본곳이요 이자는얼마나나오고 금리는얼마나될지가궁금하네요
10724,2022-03,청년버팀목전세대출 주부도 가능한가요?,지금 임신 8개월째구요남편이랑 이혼하고 저 혼자 살아가려고 하는데아이 낳고 살아가려면 월세는 힘들거 같고..전세로 들어 가고 싶어서요임산부라 일받아 주는 곳도 없어서 수익이 없어요대출받고 싶은데 가능한 방법 없을까요?,질문자님 우선 임신 진심으로 착하드립니다.^^ 반드시 순산하시길 바랄게요.그리고  충분히 가능하시긴 한데요. 급할수록 따져보셔야 할 부분들이 많이 있습니다.요즘은 온라인에서도 안전하게 돈을 빌려주는 사람과 빌리는 사람들을 중간에서 연결을 시켜주는 대출안전 직거래 사이트라는 것이 있으니 한 번 참고해보시면 도움이 될것 같네요. 하지만 요즘은 정식허가를 받지 않은곳도 많이 있으니 반드시 시중은행과 같이 금감원에서 관리하는 정식 등록업체에서 받으셔야만 안전할 수 있습니다. 그러니 알아보실 때 가장 오랫동안 운영되고 있고 회원가입체계가 갖춰져있는 대출 직거래 전문 업체를 통해 진행해 보시면 충분히 도움이 되실 것 같습니다. 그리고 소개비를 명목으로 그 어떠한 수수료를 원하는 곳은 100% 불법이니 반드시 믿고 거르시길 바랍니다. 그럼 저의 답변이 도움이 되셨다면 채택 한 번 부탁드립니다. 그럼 가정의 안녕히 있길 바,청년버팀목전세대출 주부도 가능한가요?_지금 임신 8개월째구요남편이랑 이혼하고 저 혼자 살아가려고 하는데아이 낳고 살아가려면 월세는 힘들거 같고..전세로 들어 가고 싶어서요임산부라 일받아 주는 곳도 없어서 수익이 없어요대출받고 싶은데 가능한 방법 없을까요?
29538,2021-05,친구네시댁이 50억대 재산가래요시댁에서 집해준다고 해서 결혼했는데 집은 월세고 대신 남편이 능력이 없어서 5억들여 장사할수있게 해줬나봐요현금 5억정도 가지고 있고 나머지는 상가랑 시부모님 아파트 이렇게 부동산?가격이래요근데 친구남편동생은 대학생이거든요용돈 10만원 받는대요옷도 맨날 똑같은거 입고뭐죠? 듣다보면 부자인가? 거지인가? 모르겠고50억대 자산가가 아들한테 전세하나 못해주나 이해가 안가서요친구는 아기도 있는데 이상한 곰팡이 있는 아파트에 살아요친구 기분나쁠까봐 말은 안했는데 시댁에서 사기치는거 아닌지?친구 사기결혼한거 아닌지? 생각들어요50억 있어도 이렇게 많이들 사나요?,친구네시댁이 50억대 재산가래요시댁에서 집해준다고 해서 결혼했는데 집은 월세고 대신 남편이 능력이 없어서 5억들여 장사할수있게 해줬나봐요현금 5억정도 가지고 있고 나머지는 상가랑 시부모님 아파트 이렇게 부동산?가격이래요근데 친구남편동생은 대학생이거든요용돈 10만원 받는대요옷도 맨날 똑같은거 입고뭐죠? 듣다보면 부자인가? 거지인가? 모르겠고50억대 자산가가 아들한테 전세하나 못해주나 이해가 안가서요친구는 아기도 있는데 이상한 곰팡이 있는 아파트에 살아요친구 기분나쁠까봐 말은 안했는데 시댁에서 사기치는거 아닌지?친구 사기결혼한거 아닌지? 생각들어요50억 있어도 이렇게 많이들 사나요?,강남에 앵간한 아파트 한 채 있으면 50억이잖아요그렇지만 수중에는 돈이 없는 것이지요벽돌 뜯어 먹고 사는 건 아니거든요현찰이 없으니 결혼해도 전세도 얻기 힘들겠지요전세는 빚을 지거나 현찰 박치기니까요벽돌 뜯어 용돈 줄 수 없으니까 10만원 정도일 수 있네요벽돌 뜯어 옷 살 수 없으니까 맨날 같은 옷 입을 수 있지요사기 치는 것 아닌 것 같습니다이런 경우를 부동산 거지라고 하는 겁니다우리 나라에 이런 거지 아닌 거지가 억수로 많습니다머 할라꼬 강남에 사는지 원 참 나...,친구네시댁이 50억대 재산가래요시댁에서 집해준다고 해서 결혼했는데 집은 월세고 대신 남편이 능력이 없어서 5억들여 장사할수있게 해줬나봐요현금 5억정도 가지고 있고 나머지는 상가랑 시부모님 아파트 이렇게 부동산?가격이래요근데 친구남편동생은 대학생이거든요용돈 10만원 받는대요옷도 맨날 똑같은거 입고뭐죠? 듣다보면 부자인가? 거지인가? 모르겠고50억대 자산가가 아들한테 전세하나 못해주나 이해가 안가서요친구는 아기도 있는데 이상한 곰팡이 있는 아파트에 살아요친구 기분나쁠까봐 말은 안했는데 시댁에서 사기치는거 아닌지?친구 사기결혼한거 아닌지? 생각들어요50억 있어도 이렇게 많이들 사나요?_친구네시댁이 50억대 재산가래요시댁에서 집해준다고 해서 결혼했는데 집은 월세고 대신 남편이 능력이 없어서 5억들여 장사할수있게 해줬나봐요현금 5억정도 가지고 있고 나머지는 상가랑 시부모님 아파트 이렇게 부동산?가격이래요근데 친구남편동생은 대학생이거든요용돈 10만원 받는대요옷도 맨날 똑같은거 입고뭐죠? 듣다보면 부자인가? 거지인가? 모르겠고50억대 자산가가 아들한테 전세하나 못해주나 이해가 안가서요친구는 아기도 있는데 이상한 곰팡이 있는 아파트에 살아요친구 기분나쁠까봐 말은 안했는데 시댁에서 사기치는거 아닌지?친구 사기결혼한거 아닌지? 생각들어요50억 있어도 이렇게 많이들 사나요?
34362,2021-10,전세자금대출있는상태에서 신혼부부전세대출,현제 살고있는 집이 전세자금대출이 있는 상태입니다그리고 현재 와이프가 임신을 해서 신혼부부대출로 집을구하려고 하는데 가능할까요???,"질문자님 상황에 맞는 곳에서 잘 알아보시는게 정말 정확합니다.비대면 진행이며 법정금리로 연 24% 입니다개인대부 업체에서 진행하시는거라신용, 소득 관계없이 대출 가능하니 참고하세요위 내용이 안전한 도움이 되셨으면 좋겠습니다.",전세자금대출있는상태에서 신혼부부전세대출_현제 살고있는 집이 전세자금대출이 있는 상태입니다그리고 현재 와이프가 임신을 해서 신혼부부대출로 집을구하려고 하는데 가능할까요???
34850,2021-11,사기결혼인데 처벌방법없나요? 도와주세요ㅠㅠ,"앞뒤 두서가 없지만 제발 도와주세요 가까운지인에게 소개받아 선을보게되었고 만난지 3개월만에 결혼식은 올린상태이고 저사람 직장과 저의학교생활로 인하여 8개월째 혼인신고는 하지않고 떨어져 살고있습니다 상대방도 재혼이였고 저역시 재혼입니다 처음 결혼을하자고 이야기가 나왔을때 너무급한거아니냐고 좀더 만나보고 생각하자 말했었고 상대방은 시댁어른들께서 연세도있고 농번기때문이라고하면서 당장 같이 있지않아도 좋으니 어른들 생각해서 결혼식을 빨리 진행하자고 밀어붙쳤습니다 그러면서 저에게 시댁에서 집을사준다고하고 제가 대학을다니고있어서 차가 필요하니 차도 사준다고 그리고 제 아이들에게 집월세를 매달 내어주겠다 또 각1억5000씩 줄꺼니 뭐든하고싶은거있으면 이야기하라면서 애들에게 바람을 넣었고 집에 재산이얼마고 자기 땅을팔아서 건물을 저에게 사줄꺼니깐 결혼하고나면 집안 살림만 하라고했고 자기월급 연봉을 이야기하면서 저한테 혼자 구질구질하게 살지말라고도 하였습니다 말도안된다는 생각에 그사람주위분들에게 수소문을 해보았고 그분들역시 그사람말이 맞다며 저에게 이제 힘들게 살지말고 재혼해서 잘살아보라고하더군요 그렇게 식을 준비하는과정에서 결혼식 하루전날 밤에 찾아와서 차도안된다 집도 안된다고 하더군요 중간 중간 준비가 안될꺼같으면 미리 이야기해달라고 몇번을 말했던거라 저는 너무화가나서 결혼식을 하지말자고 없던일로하자고 이야기했지만 저사람은 끝까지 약속을 지킬테니 마지막으로 8개월만 더 믿어달라며 저에게 사정사정하였습니다 당장 몇시간뒤가 결혼식이라 양가부모님ㆍ지인 다 오고있는 상황이라 한번더 믿어준다고했습니다. 그렇게 결혼식을 올리고 지옥같은 신혼여행 내내 지금이라도 늦지않았으니 결혼없던일로 하자며 저는 부탁까지했지만 저사람은 정말 약속을지킬꺼고 거짓없이 잘할꺼라고했습니다. 하지만 결혼을 하고난뒤 지금까지 지키지못할 말을 계속하며 저희친정과지인들에게 부풀려서 없는 돈도 있다고했고 제발부탁이니 진심을보여달라고 약속을 지킬꺼면 말만앞서지말아달라고 사정사정할때마다 돌아오는답은 ""네 알겠어요 당신말대로할께였습니다"" 그렇게 8개월이 지난 얼마전 시댁을 찾아가서 어른들께 왜결혼을하게되었고 지금까지 단1%도 약속 지킨것이 없으니 저희 둘관계 정리하겠다고 말씀드렸더니 어른들께서 자식잘못키운 자기들 봐서라도 전세집이라도 구할꺼니 12월말까지만 또기다려달라고 부탁하시면서 12월까지 그약속도 못지키면 제가 하고싶은대로 뭐든 해도 된다며 사정하셔서 그렇게하겠다고 대화를 마친상태이고 그날 대화내용은 녹취를 해둔상태입니다 그런데 오늘 저사람월급통장을 다른계좌로 옮겨서 월급을 빼돌리고 시댁에서 갑자기 전화가와서 받아보니 당신 아들이 처갓집에 잘보이기위해 시댁에있던 양주 몇병을 가져다준걸 저보고 돈1000만원을 물어달라고 도독질한거라며 소리까지 질러버리시네요 저는 분명 저사람한테 양주선물안해도 된다고 하지말라고 말렸고 그역시 녹취록이 있습니다 제가 억울한건 뭐하나 해달라고 사달라고 단한번도 말한적이없고 저사람때문에 마음고생에 스트레스에 눈물로 하루하루보낸 바보같은 제자신이 너무 원망스럽네요 저사람을 처벌할수있는방법이 없을까요? 위자료소송을 걸려고해도 저사람 명의의 재산이 하나도 없는상태입니다",안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.글이 외과로 올라 왔군요.변호사께 글올려 보세요.?,"사기결혼인데 처벌방법없나요? 도와주세요ㅠㅠ_앞뒤 두서가 없지만 제발 도와주세요 가까운지인에게 소개받아 선을보게되었고 만난지 3개월만에 결혼식은 올린상태이고 저사람 직장과 저의학교생활로 인하여 8개월째 혼인신고는 하지않고 떨어져 살고있습니다 상대방도 재혼이였고 저역시 재혼입니다 처음 결혼을하자고 이야기가 나왔을때 너무급한거아니냐고 좀더 만나보고 생각하자 말했었고 상대방은 시댁어른들께서 연세도있고 농번기때문이라고하면서 당장 같이 있지않아도 좋으니 어른들 생각해서 결혼식을 빨리 진행하자고 밀어붙쳤습니다 그러면서 저에게 시댁에서 집을사준다고하고 제가 대학을다니고있어서 차가 필요하니 차도 사준다고 그리고 제 아이들에게 집월세를 매달 내어주겠다 또 각1억5000씩 줄꺼니 뭐든하고싶은거있으면 이야기하라면서 애들에게 바람을 넣었고 집에 재산이얼마고 자기 땅을팔아서 건물을 저에게 사줄꺼니깐 결혼하고나면 집안 살림만 하라고했고 자기월급 연봉을 이야기하면서 저한테 혼자 구질구질하게 살지말라고도 하였습니다 말도안된다는 생각에 그사람주위분들에게 수소문을 해보았고 그분들역시 그사람말이 맞다며 저에게 이제 힘들게 살지말고 재혼해서 잘살아보라고하더군요 그렇게 식을 준비하는과정에서 결혼식 하루전날 밤에 찾아와서 차도안된다 집도 안된다고 하더군요 중간 중간 준비가 안될꺼같으면 미리 이야기해달라고 몇번을 말했던거라 저는 너무화가나서 결혼식을 하지말자고 없던일로하자고 이야기했지만 저사람은 끝까지 약속을 지킬테니 마지막으로 8개월만 더 믿어달라며 저에게 사정사정하였습니다 당장 몇시간뒤가 결혼식이라 양가부모님ㆍ지인 다 오고있는 상황이라 한번더 믿어준다고했습니다. 그렇게 결혼식을 올리고 지옥같은 신혼여행 내내 지금이라도 늦지않았으니 결혼없던일로 하자며 저는 부탁까지했지만 저사람은 정말 약속을지킬꺼고 거짓없이 잘할꺼라고했습니다. 하지만 결혼을 하고난뒤 지금까지 지키지못할 말을 계속하며 저희친정과지인들에게 부풀려서 없는 돈도 있다고했고 제발부탁이니 진심을보여달라고 약속을 지킬꺼면 말만앞서지말아달라고 사정사정할때마다 돌아오는답은 ""네 알겠어요 당신말대로할께였습니다"" 그렇게 8개월이 지난 얼마전 시댁을 찾아가서 어른들께 왜결혼을하게되었고 지금까지 단1%도 약속 지킨것이 없으니 저희 둘관계 정리하겠다고 말씀드렸더니 어른들께서 자식잘못키운 자기들 봐서라도 전세집이라도 구할꺼니 12월말까지만 또기다려달라고 부탁하시면서 12월까지 그약속도 못지키면 제가 하고싶은대로 뭐든 해도 된다며 사정하셔서 그렇게하겠다고 대화를 마친상태이고 그날 대화내용은 녹취를 해둔상태입니다 그런데 오늘 저사람월급통장을 다른계좌로 옮겨서 월급을 빼돌리고 시댁에서 갑자기 전화가와서 받아보니 당신 아들이 처갓집에 잘보이기위해 시댁에있던 양주 몇병을 가져다준걸 저보고 돈1000만원을 물어달라고 도독질한거라며 소리까지 질러버리시네요 저는 분명 저사람한테 양주선물안해도 된다고 하지말라고 말렸고 그역시 녹취록이 있습니다 제가 억울한건 뭐하나 해달라고 사달라고 단한번도 말한적이없고 저사람때문에 마음고생에 스트레스에 눈물로 하루하루보낸 바보같은 제자신이 너무 원망스럽네요 저사람을 처벌할수있는방법이 없을까요? 위자료소송을 걸려고해도 저사람 명의의 재산이 하나도 없는상태입니다"
12643,2022-04,"전세담보대출 받은지 약6년 정도 되가요결혼한지는 4년정도 되가고 자녀가 2명입니다.전세담보대출 받을때 부모님 사정상 대출 받을 수 있는 자격이 안되어 제명의로 전세담보대출을 받았습니다.그러고 저희 부모님께서 매달 그통장에 넣어 갚구 계십니다.문제는 제가 결혼을 하면서 시댁께서 전세집을 마련해주셨는데 그전세집이 문제가 생겨 곧 나가야 될수도 있어 당장 집을 구할수가 없는 상태입니다.아이가 둘이라 대출을 받고 전세집이라도 가야 되는데 제명의로 된것 때문에 신혼대출도 못받는 상황입니다.만약신혼대출을 받을려면, 명의변경과 동시에 주택담보갈아타기를 해야되는데,저희 부모님은 아직 안되고 아버지의 형제 작은아버지 명의로 할려 하는데 그분 신용점수와 직장을 검수 해야되겠죠?맞아 떨어져 명의변경( 돈지불) , 주택담보갈아타기가 가능하다면 작은아버지 명의변경,주택담보대출 다 가져가신다면신혼대출이 가능한가요?","전세담보대출 받은지 약6년 정도 되가요결혼한지는 4년정도 되가고 자녀가 2명입니다.전세담보대출 받을때 부모님 사정상 대출 받을 수 있는 자격이 안되어 제명의로 전세담보대출을 받았습니다.그러고 저희 부모님께서 매달 그통장에 넣어 갚구 계십니다.문제는 제가 결혼을 하면서 시댁께서 전세집을 마련해주셨는데 그전세집이 문제가 생겨 곧 나가야 될수도 있어 당장 집을 구할수가 없는 상태입니다.아이가 둘이라 대출을 받고 전세집이라도 가야 되는데 제명의로 된것 때문에 신혼대출도 못받는 상황입니다.만약신혼대출을 받을려면, 명의변경과 동시에 주택담보갈아타기를 해야되는데,저희 부모님은 아직 안되고 아버지의 형제 작은아버지 명의로 할려 하는데 그분 신용점수와 직장을 검수 해야되겠죠?맞아 떨어져 명의변경( 돈지불) , 주택담보갈아타기가 가능하다면 작은아버지 명의변경,주택담보대출 다 가져가신다면신혼대출이 가능한가요?",질문자님 우선 이런 문제는 정확하게 알기 위해서라도 각 취급처에 문의를 하시는것이 가장 빠르고 정확한 방법을 찾을수 있습니다. 그리고  급할수록 좀 더 안전한 곳에서 거래진행을 하시기를 바라겠습니다. 불법적인 곳도 많이 있으니 정식으로 허가를 받은곳인지 그리고 인증은 되어있는 곳인지를 확실하게 따져 보셔서 진행을 하셔야만 추후에 더 큰 화를 피할수 있게 됩니다. 그러므로 반드시 시중은행과 같이 금감원에서 관리하는 정식등록업체에서 받으셔야 됩니다. 알아보실때 가장 오랫동안 운영되고있고 회원가입체계가 갖춰져있는 대출직거래 전문업체를 통해 진행해보시면 도움이 되실것 같습니다. 제 답변이 도움이 되셨다면 채택 부탁드립니다. 그럼 가정의 안녕이 있길 바랍니다.​p.s:소개비를 명목으로 그 어떠한 수수료를 원하는 곳은 100% 불법이니 반드시 믿고 거르시길 바랍니다.,"전세담보대출 받은지 약6년 정도 되가요결혼한지는 4년정도 되가고 자녀가 2명입니다.전세담보대출 받을때 부모님 사정상 대출 받을 수 있는 자격이 안되어 제명의로 전세담보대출을 받았습니다.그러고 저희 부모님께서 매달 그통장에 넣어 갚구 계십니다.문제는 제가 결혼을 하면서 시댁께서 전세집을 마련해주셨는데 그전세집이 문제가 생겨 곧 나가야 될수도 있어 당장 집을 구할수가 없는 상태입니다.아이가 둘이라 대출을 받고 전세집이라도 가야 되는데 제명의로 된것 때문에 신혼대출도 못받는 상황입니다.만약신혼대출을 받을려면, 명의변경과 동시에 주택담보갈아타기를 해야되는데,저희 부모님은 아직 안되고 아버지의 형제 작은아버지 명의로 할려 하는데 그분 신용점수와 직장을 검수 해야되겠죠?맞아 떨어져 명의변경( 돈지불) , 주택담보갈아타기가 가능하다면 작은아버지 명의변경,주택담보대출 다 가져가신다면신혼대출이 가능한가요?_전세담보대출 받은지 약6년 정도 되가요결혼한지는 4년정도 되가고 자녀가 2명입니다.전세담보대출 받을때 부모님 사정상 대출 받을 수 있는 자격이 안되어 제명의로 전세담보대출을 받았습니다.그러고 저희 부모님께서 매달 그통장에 넣어 갚구 계십니다.문제는 제가 결혼을 하면서 시댁께서 전세집을 마련해주셨는데 그전세집이 문제가 생겨 곧 나가야 될수도 있어 당장 집을 구할수가 없는 상태입니다.아이가 둘이라 대출을 받고 전세집이라도 가야 되는데 제명의로 된것 때문에 신혼대출도 못받는 상황입니다.만약신혼대출을 받을려면, 명의변경과 동시에 주택담보갈아타기를 해야되는데,저희 부모님은 아직 안되고 아버지의 형제 작은아버지 명의로 할려 하는데 그분 신용점수와 직장을 검수 해야되겠죠?맞아 떨어져 명의변경( 돈지불) , 주택담보갈아타기가 가능하다면 작은아버지 명의변경,주택담보대출 다 가져가신다면신혼대출이 가능한가요?"
18559,2020-02,연체자대출,26남자입니다 갑작스레 여자친구가 임신을해서 같이지낼 집이 필요한데 둘다 무직에 연체가있습니다 전세자금대출이나 일반대출 다 어려울까요..ㅜ,대출상담에 대해서 문의를 주셨네요대출을 진행할때에는 내 상황이 어떤 금융권에 해당되는지와어떤상품으로 접수를 해야 대출확률이 높아지는지를 먼저 상담받아야 합니다​연체이력이 있으셔서 대출의 확실한 가능성여부를 판단하기 위해서는 보다더 구체적인 상담이 필요하실것으로 보여지시며 상담을 통하여 당일로  무직자이셔도 연체금대납후 복잡한 절차및 서류없이 빠르고 안전하게 도움드릴수있을것으로 보여집니다​대출을 진행함에있어서 중요한 부분은 정식등록된업체인지 꼼꼼하게 살펴보시고 신중하게 진행하실것을 권장해드립니다​추가적으로 궁금한점이 있으시거나 이해가 안되시는 부분이있으실경우 추가문의상담을원하시면 상단 상담문의등을 통해문의주시면 질문자님 조건에서 진행 가능여부 도움드릴 수 있으며 성심성의껏 상담드리도록 하겠습니다^^항상 행복하시고 좋은하루 보내시길 바라겠습니다​보다 정확하고 안전한 대출 상담 받아보시길 바랍니다​,연체자대출_26남자입니다 갑작스레 여자친구가 임신을해서 같이지낼 집이 필요한데 둘다 무직에 연체가있습니다 전세자금대출이나 일반대출 다 어려울까요..ㅜ
34105,2021-10,연체자대출,26남자입니다 갑작스레 여자친구가 임신을해서 같이지낼 집이 필요한데 둘다 무직에 연체가있습니다 전세자금대출이나 일반대출 다 어려울까요..ㅜ,대출상담에 대해서 문의를 주셨네요대출을 진행할때에는 내 상황이 어떤 금융권에 해당되는지와어떤상품으로 접수를 해야 대출확률이 높아지는지를 먼저 상담받아야 합니다?연체이력이 있으셔서 대출의 확실한 가능성여부를 판단하기 위해서는 보다더 구체적인 상담이 필요하실것으로 보여지시며 상담을 통하여 당일로  무직자이셔도 연체금대납후 복잡한 절차및 서류없이 빠르고 안전하게 도움드릴수있을것으로 보여집니다?대출을 진행함에있어서 중요한 부분은 정식등록된업체인지 꼼꼼하게 살펴보시고 신중하게 진행하실것을 권장해드립니다?추가적으로 궁금한점이 있으시거나 이해가 안되시는 부분이있으실경우 추가문의상담을원하시면 상단 상담문의등을 통해문의주시면 질문자님 조건에서 진행 가능여부 도움드릴 수 있으며 성심성의껏 상담드리도록 하겠습니다^^항상 행복하시고 좋은하루 보내시길 바라겠습니다?보다 정확하고 안전한 대출 상담 받아보시길 바랍니다?,연체자대출_26남자입니다 갑작스레 여자친구가 임신을해서 같이지낼 집이 필요한데 둘다 무직에 연체가있습니다 전세자금대출이나 일반대출 다 어려울까요..ㅜ
