,날짜,title,questions,answer,title_questions
42379,2022-09,전세사기 변호사 선임,안녕하세요갭투자 컨설팅 회사로 인해 계약한 집주소로 전세대출 및 담보 대출 진행을 하였었는데 현재 전세사기 조사는 받았으나 이번 주중에 담보대출 진행한 개인대부업체에서 공문서위조로 고소장 소송예정인데 고소장이 들어가면 바로 영장발부 되어 체포하러 오나요? 아니면 연락으로 조사 받으러 오라고 하여 바로 수감 되나요? 준비를 좀 하고싶어 변호사 상담 요청 합니다 ㅜ ㅜ ㅜ,"안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 권희영 변호사입니다.?1. 대부업체가 공문서를 위조한 혐의로 현재 고소장을 경찰에 제출한 상태인가요???2. 해당 고소장이 경찰에 접수가 되면,경찰에 고소인이 출석하여 해당 고소장을 진술하고,경찰은 해당 내용을 바탕으로 피고소인을 소환하여 조사를 하게 됩니다.?(고소장이 접수된다고 바로 체포영장이 발부되지는 않아요)???권희영 변호사 드림.",전세사기 변호사 선임_안녕하세요갭투자 컨설팅 회사로 인해 계약한 집주소로 전세대출 및 담보 대출 진행을 하였었는데 현재 전세사기 조사는 받았으나 이번 주중에 담보대출 진행한 개인대부업체에서 공문서위조로 고소장 소송예정인데 고소장이 들어가면 바로 영장발부 되어 체포하러 오나요? 아니면 연락으로 조사 받으러 오라고 하여 바로 수감 되나요? 준비를 좀 하고싶어 변호사 상담 요청 합니다 ㅜ ㅜ ㅜ
35500,2021-11,고소장 작성,전세반환 소송을 진행후 승소 판결 받았습니다.하지만 임대인이 실거주지(초본)살지않는 곳으로 나옵니다.의도적으로 계획적으로 잠수타는것같은데이에따라 고소장 접수를 할려합니다.막상 쓸려니 상당히 어렵네요.법무사님이나 변호사님 고소장 작성 가능 할까요 ?,"대구지방변호사회 소속 이규일 변호사입니다. 25년간 각종 소송사건을 처리한 경험이 있습니다. 전세금 반환소송에서 승소하셨다면 강제집행절차(부동산강제경매)를 진행하시는 것이 일반적입니다. 만약 계약당시 속인 내용이 있다면 사기죄로 고소가 가능하겠지만 전세금을 돌려주지 않고 잠수를 탔다는 내용으로는 고소가 어려우며, 주민등록법위반으로 고발해도 주민센터에서 주민등록만 말소되는 경우가  대부분입니다. 질문만으로는 어떤 내용으로 고소하시는지 알수 없으므로 내일 053-756-4815로 전화주시면 상담해 드리겠습니다.",고소장 작성_전세반환 소송을 진행후 승소 판결 받았습니다.하지만 임대인이 실거주지(초본)살지않는 곳으로 나옵니다.의도적으로 계획적으로 잠수타는것같은데이에따라 고소장 접수를 할려합니다.막상 쓸려니 상당히 어렵네요.법무사님이나 변호사님 고소장 작성 가능 할까요 ?
35501,2021-11,고소장 작성,전세반환 소송을 진행후 승소 판결 받았습니다.하지만 임대인이 실거주지(초본)살지않는 곳으로 나옵니다.의도적으로 계획적으로 잠수타는것같은데이에따라 고소장 접수를 할려합니다.막상 쓸려니 상당히 어렵네요.법무사님이나 변호사님 고소장 작성 가능 할까요 ?,"안녕하세요. ?고소장작성 등 이 사안에 대한 추가적인 질문이나 진행방법, 절차 및 소요기간등 보다 구체적인 무료상담이 필요하신 경우, 무료상담번호(010 4667 2667)를 통해 실시간으로 상담이 가능하며,?  ""다음(daum)카페"" 에서 ""시민 무료법률 상담센터""(http://m.cafe.daum.net/lifelaw/)를 검색하시면 ""게시판 무료상담""도 가능합니다.?이 답변이 도움이 되셨다면 '답변채택'과 'N포인트'로 감사의 마음을 전해 보세요.",고소장 작성_전세반환 소송을 진행후 승소 판결 받았습니다.하지만 임대인이 실거주지(초본)살지않는 곳으로 나옵니다.의도적으로 계획적으로 잠수타는것같은데이에따라 고소장 접수를 할려합니다.막상 쓸려니 상당히 어렵네요.법무사님이나 변호사님 고소장 작성 가능 할까요 ?
30382,2021-06,리파인 문자,"제목없음[Web발신]안녕하십니까?***님께서 국민에 신청하신 전세자금과 관련하여 조사진행을 위임받은 권리확인업체 (주)리파인 입니다.1. 전세자금 실행 이전 조사 - 임대차계약사실 확인을 위한 중개업소 방문조사 - (필요시)제출서류 확인을 위한 재직(사업장) 방문조사2. 전세자금 실행 이후 조사 - 3영업일이내 물건지 방문조사(전입 및 인도 확인, 평일 오전 9시 ~ 오후6시)가 진행될 예정입니다. 신용조사업체에서 미리 연락드리오니 번거로우시더라도 꼭 협조부탁드립니다.감사합니다.대부분 실행 이후 조사만 나오던데저는 실행 이전 조사도 있네요? ㅠㅠ이런 경우엔 대출 통과를 받았다고생각 하고 기다리면 될까요?어제 오후 4-5시쯤 문자 받은거고지금까지 아무런 연락이 없어요.","최근들어 전세대출 사기가 많아서,은행별로 확인하는 절차가 다 다릅니다.?전화로 확인하는 업체가 있고, 우편으로 등기를 송달하기도 하고,찾아와서 전세계약서 직접체결여부등을 물어보는경우가 있습니다.?협조만 잘해주시면 불이익은 없습니다.","리파인 문자_제목없음[Web발신]안녕하십니까?***님께서 국민에 신청하신 전세자금과 관련하여 조사진행을 위임받은 권리확인업체 (주)리파인 입니다.1. 전세자금 실행 이전 조사 - 임대차계약사실 확인을 위한 중개업소 방문조사 - (필요시)제출서류 확인을 위한 재직(사업장) 방문조사2. 전세자금 실행 이후 조사 - 3영업일이내 물건지 방문조사(전입 및 인도 확인, 평일 오전 9시 ~ 오후6시)가 진행될 예정입니다. 신용조사업체에서 미리 연락드리오니 번거로우시더라도 꼭 협조부탁드립니다.감사합니다.대부분 실행 이후 조사만 나오던데저는 실행 이전 조사도 있네요? ㅠㅠ이런 경우엔 대출 통과를 받았다고생각 하고 기다리면 될까요?어제 오후 4-5시쯤 문자 받은거고지금까지 아무런 연락이 없어요."
23798,2020-12,전세 입주자인데 집주인이 사기로 고소장이 엄청옵니다,전세 입주자인데집주인이 입주 동안 바꼈고지금 집주인의 고소장과 법원 분들이집주인 고소장을 들고 집에 찾ㅇㅏ왔습니다저희는 전세자라고 말하고 법원분께서 돌아가셨는데나중에 전세 계약 끝나고 집주인에게 전세계약금을 못 받는 상황이올 수 있을까요????(아마 사기죄로 고소 된 것 같습니다),"안녕하세요. 서울지방변호사회-네이버 지식iN 상담 변호사 김진욱 입니다.​1. 질의하신 내용만으로는 현재 집주인이 어떤 상태인지 정확히 알 수 없지만, 전세계약이 종료하였을 때 집주인으로부터 보증금을 돌려받지 못하는 상황이 발생할 가능성도 있어 보입니다.2. 최소한 등기부를 열람하시고 압류 등이 있는지 확인하시어 추가적 대책을 마련하시는 것도 좋을 듯합니다.​​[김앤장 10년이상 경력 형사전문변호사] 경찰대 출신으로 경찰청 간부 수사경험을 살려 형사사건을 해결해 드립니다. 국내 최대로펌 김앤장에서 10년 이상 형사전문변호사로 근무하면서 대기업오너 형사사건, 유명 연예인 마약범죄, 성범죄 등 수많은 사건을 성공적으로 해결하였습니다.​추가 문의사항은 02)544-3831로 연락 부탁드립니다.",전세 입주자인데 집주인이 사기로 고소장이 엄청옵니다_전세 입주자인데집주인이 입주 동안 바꼈고지금 집주인의 고소장과 법원 분들이집주인 고소장을 들고 집에 찾ㅇㅏ왔습니다저희는 전세자라고 말하고 법원분께서 돌아가셨는데나중에 전세 계약 끝나고 집주인에게 전세계약금을 못 받는 상황이올 수 있을까요????(아마 사기죄로 고소 된 것 같습니다)
8775,2022-02,전세대출 집주인신용,전세대출을 받을때 은행에서 집주인 신용조사를 한후대출을 해주나요?,"네이버 지식in에서 열심히 활동하는『행복주는 대출 상담사』입니다. <<소중한 정보를 모두 읽어보고 정확하고 솔직한 답변드립니다>>  =>>아녀,집주인 상관없고 전세자금대출 신청자만 신용조회를 합니다. ★답변에 도움 되셨으면 답변 채택 부탁드리며 더 궁금한건 1-1 질문을 해주시거나 아이디를 클릭하면 상담신청이 가능하니 참고하시고 좋은 결과를 기원합니다. ★대출은 금융사나 정식 등록된 대출 상담사에게 신청해야 편리하고  안전하게 받을수가 있습니다. 항상 행복하시고 좋은 하루 보내세요.^^*. <<과도한 대출은 고통의 시작입니다.>>​https://kin.naver.com/profile/pkh500",전세대출 집주인신용_전세대출을 받을때 은행에서 집주인 신용조사를 한후대출을 해주나요?
37292,2022-02,전세대출 집주인신용,전세대출을 받을때 은행에서 집주인 신용조사를 한후대출을 해주나요?,"네이버 지식in에서 열심히 활동하는『행복주는 대출 상담사』입니다. <<소중한 정보를 모두 읽어보고 정확하고 솔직한 답변드립니다>>  =>>아녀,집주인 상관없고 전세자금대출 신청자만 신용조회를 합니다. ★답변에 도움 되셨으면 답변 채택 부탁드리며 더 궁금한건 1-1 질문을 해주시거나 아이디를 클릭하면 상담신청이 가능하니 참고하시고 좋은 결과를 기원합니다. ★대출은 금융사나 정식 등록된 대출 상담사에게 신청해야 편리하고  안전하게 받을수가 있습니다. 항상 행복하시고 좋은 하루 보내세요.^^*. <<과도한 대출은 고통의 시작입니다.>>?https://kin.naver.com/profile/pkh500",전세대출 집주인신용_전세대출을 받을때 은행에서 집주인 신용조사를 한후대출을 해주나요?
20227,2020-05,형사고소 변호사선임 중 배상명령수임료는 별도인가요?,전세사기를 당해서 집주인을 형사고소 하느라 변호사 선임을 했는데 소송도 지지부진이고 변호사가 해준 일은 고소장 작성하고 참고인 조사 한번 받으러 갈 때 같이가고 나서 9개월정도 얼굴 한번 본적이 없고요. 나중에 형사진행 중 배상명령신청 할때는 어떻게 하냐고 물어보니 그건 자기가 수임을 안해서 안한다고 하는데 원래 별도로 수임료를 줘야 하나요?형사도 220만원이나 지불하고 암것도 안하고 있고 원체 대형 사기다보니까 변호사가 할 일도 없다고 들었는데진짜 이 변호사도 너무 하다는 생각이 들어서 글 적어봅니다. 처음 선임할때는 엄청 설명 잡다하게 하고 고소장 작성할때도 제대로 도움도 안됐어서 짜증나는데 변호사도 사기꾼 같네요 정말변호사 선임하기전에 법률구조공단에 상담을 먼저 받았어야 하는데 정말....ㅠㅠ,글쎄요~ 머 그닥 사기친 것 같진 않은데요~  고소대리를 위임하신 듯한데..입회조사와 고소장 작성 했다면 220만원은 싸게 하신 듯요~ 그리고 형사사건은 사안별로 수임료를 받는게 맞고요~ 배상명령은 신청사건이기 때문에 별도로 작성 신청해야 하는거 맞습니다.  뭘 잘모르시는 말로 이런식의 글을 올리시는 건 아닌 듯 합니다.,형사고소 변호사선임 중 배상명령수임료는 별도인가요?_전세사기를 당해서 집주인을 형사고소 하느라 변호사 선임을 했는데 소송도 지지부진이고 변호사가 해준 일은 고소장 작성하고 참고인 조사 한번 받으러 갈 때 같이가고 나서 9개월정도 얼굴 한번 본적이 없고요. 나중에 형사진행 중 배상명령신청 할때는 어떻게 하냐고 물어보니 그건 자기가 수임을 안해서 안한다고 하는데 원래 별도로 수임료를 줘야 하나요?형사도 220만원이나 지불하고 암것도 안하고 있고 원체 대형 사기다보니까 변호사가 할 일도 없다고 들었는데진짜 이 변호사도 너무 하다는 생각이 들어서 글 적어봅니다. 처음 선임할때는 엄청 설명 잡다하게 하고 고소장 작성할때도 제대로 도움도 안됐어서 짜증나는데 변호사도 사기꾼 같네요 정말변호사 선임하기전에 법률구조공단에 상담을 먼저 받았어야 하는데 정말....ㅠㅠ
20228,2020-05,형사고소 변호사선임 중 배상명령수임료는 별도인가요?,전세사기를 당해서 집주인을 형사고소 하느라 변호사 선임을 했는데 소송도 지지부진이고 변호사가 해준 일은 고소장 작성하고 참고인 조사 한번 받으러 갈 때 같이가고 나서 9개월정도 얼굴 한번 본적이 없고요. 나중에 형사진행 중 배상명령신청 할때는 어떻게 하냐고 물어보니 그건 자기가 수임을 안해서 안한다고 하는데 원래 별도로 수임료를 줘야 하나요?형사도 220만원이나 지불하고 암것도 안하고 있고 원체 대형 사기다보니까 변호사가 할 일도 없다고 들었는데진짜 이 변호사도 너무 하다는 생각이 들어서 글 적어봅니다. 처음 선임할때는 엄청 설명 잡다하게 하고 고소장 작성할때도 제대로 도움도 안됐어서 짜증나는데 변호사도 사기꾼 같네요 정말변호사 선임하기전에 법률구조공단에 상담을 먼저 받았어야 하는데 정말....ㅠㅠ,"​​ 합의가 안되면은, 민사 손해배상청구소송을 별도로 해야합니다.​ 소제기후 법정연이자 12프로가 가산됩니다소제기후 사실조회로 피고의 인적사항을 알아낼수 있습니다. ​​​ ​  문자 카톡 녹취 증인 입금내역이 증거가 됩니다 ​​ 승소후 상대방의 통장이나 보증금 급여에 압류나 추심등 강제집행이 가능합니다.더 도움이 필요하면 일대일질문 주세요.",형사고소 변호사선임 중 배상명령수임료는 별도인가요?_전세사기를 당해서 집주인을 형사고소 하느라 변호사 선임을 했는데 소송도 지지부진이고 변호사가 해준 일은 고소장 작성하고 참고인 조사 한번 받으러 갈 때 같이가고 나서 9개월정도 얼굴 한번 본적이 없고요. 나중에 형사진행 중 배상명령신청 할때는 어떻게 하냐고 물어보니 그건 자기가 수임을 안해서 안한다고 하는데 원래 별도로 수임료를 줘야 하나요?형사도 220만원이나 지불하고 암것도 안하고 있고 원체 대형 사기다보니까 변호사가 할 일도 없다고 들었는데진짜 이 변호사도 너무 하다는 생각이 들어서 글 적어봅니다. 처음 선임할때는 엄청 설명 잡다하게 하고 고소장 작성할때도 제대로 도움도 안됐어서 짜증나는데 변호사도 사기꾼 같네요 정말변호사 선임하기전에 법률구조공단에 상담을 먼저 받았어야 하는데 정말....ㅠㅠ
39275,2022-04,전세보증금담보대출 문의,안녕하세요전세보증금담보대출 문의드립니다.전세보증금 담보대출은 대부업체에서만 진행이 가능한건가요..?,정식업체를 통해 알아보신다면 안전하게 알아보실 수 있습니다.업체마다 금리나 한도 등이 달라 여러 업체와 상담 후조건비교하시어 가장 유리한 조건에서 받아보시기 바랍니다.선입금 수수료 통장 체크카드 요구 등은 불법/사기 이오니 주의하시어 원하시는 대출 안전하게 받아보시기 바랍니다.,전세보증금담보대출 문의_안녕하세요전세보증금담보대출 문의드립니다.전세보증금 담보대출은 대부업체에서만 진행이 가능한건가요..?
