,날짜,title,questions,answer,title_questions
5557,2021-06,전세자금 대출이자 제일 저렴한 은행,전세자금대출이자제일저렴한은행이어디일까요?,정식업체가능 대출 상품은 있습니다.​정식등록된 등록허가업체로 여러업체 조건먼저 확인하시고 ​질문자님께 유리한 곳으로 선정하여 진행하시면 승인률이 높으시니 ​등록허가업체로 조건 검토해보세요 ​안전하게 알아보셔서 검토를 신중히 진행하셔야 합니다.,전세자금 대출이자 제일 저렴한 은행_전세자금대출이자제일저렴한은행이어디일까요?
10776,2022-03,은행에전세자금대출을받으려하느데,등기부등본은 은행에서 확인하구 괜찬다구 했는데 건축물대장을확인을 못해서요.등기부하구 건축물대장에 소유자는같습니다.사진보시구 계약을해도 안전할까요?,안전합니다,은행에전세자금대출을받으려하느데_등기부등본은 은행에서 확인하구 괜찬다구 했는데 건축물대장을확인을 못해서요.등기부하구 건축물대장에 소유자는같습니다.사진보시구 계약을해도 안전할까요?
10777,2022-03,은행에전세자금대출을받으려하느데,등기부등본은 은행에서 확인하구 괜찬다구 했는데 건축물대장을확인을 못해서요.등기부하구 건축물대장에 소유자는같습니다.사진보시구 계약을해도 안전할까요?,<답변없음>,은행에전세자금대출을받으려하느데_등기부등본은 은행에서 확인하구 괜찬다구 했는데 건축물대장을확인을 못해서요.등기부하구 건축물대장에 소유자는같습니다.사진보시구 계약을해도 안전할까요?
10778,2022-03,은행에전세자금대출을받으려하느데,등기부등본은 은행에서 확인하구 괜찬다구 했는데 건축물대장을확인을 못해서요.등기부하구 건축물대장에 소유자는같습니다.사진보시구 계약을해도 안전할까요?,친절하게 답변드리겠습니다~​실제 전세대출집심사시 불법건축물만 없으면 괜찮습니다~,은행에전세자금대출을받으려하느데_등기부등본은 은행에서 확인하구 괜찬다구 했는데 건축물대장을확인을 못해서요.등기부하구 건축물대장에 소유자는같습니다.사진보시구 계약을해도 안전할까요?
23799,2020-12,1인가구 은행권전세자금대출 질문이요.,"40대초반 1인가구 은행권 전세자금 대출을 알아보고 있어요. 직장인이구요. 회사다닌지는 2년됐으나 4대보험가입은 1년됐구요. 6개월은 전 사장님 사업자로해서 4대보험을 가입했었는데 올 4월말에 사업을 다른분으로 넘기는바람에 새로운사장님 사업자로 새로 가입해서 7개월째 다니고 있어요. 그러니까 사업자가 각각 따로 6개월, 7개월 그래요 ㅠ.ㅠ연봉은 2천만원정도 되고요.신용등급은 나이스지킴이로 알아보니 4등급이에요.저축은행 쪽에 신용대출 2,300만원있구요.은행권 전세자금 대출이 가능한가요??그리고 전세자금대출 알아보는 방법도 알려주세요.제가 처음으로 알아보는거라서 잘 모르거든요.지금은 오피스텔에 월세로 거주하고 있어요.한달씩 나가는 돈이 너무 부담되고, 뭔가 버려지는 돈 같은 느낌들어서 전세자금대출받아서 집 얻어서 적금부으는게 나은것같아서요 ㅠ.ㅠ 제발 집없는제게..좋은정보 부탁드려요.집없는게 참 서럽네요 ㅠ.ㅠ",안녕하세요.​기존 채무가 있다고 하여도 전세자금대출은 가능하십니다.​전세대출이 가능한 집을 알아보시고요.​전세계약하시고 은행가셔서 전세자금대출 진행하시면 되세요.,"1인가구 은행권전세자금대출 질문이요._40대초반 1인가구 은행권 전세자금 대출을 알아보고 있어요. 직장인이구요. 회사다닌지는 2년됐으나 4대보험가입은 1년됐구요. 6개월은 전 사장님 사업자로해서 4대보험을 가입했었는데 올 4월말에 사업을 다른분으로 넘기는바람에 새로운사장님 사업자로 새로 가입해서 7개월째 다니고 있어요. 그러니까 사업자가 각각 따로 6개월, 7개월 그래요 ㅠ.ㅠ연봉은 2천만원정도 되고요.신용등급은 나이스지킴이로 알아보니 4등급이에요.저축은행 쪽에 신용대출 2,300만원있구요.은행권 전세자금 대출이 가능한가요??그리고 전세자금대출 알아보는 방법도 알려주세요.제가 처음으로 알아보는거라서 잘 모르거든요.지금은 오피스텔에 월세로 거주하고 있어요.한달씩 나가는 돈이 너무 부담되고, 뭔가 버려지는 돈 같은 느낌들어서 전세자금대출받아서 집 얻어서 적금부으는게 나은것같아서요 ㅠ.ㅠ 제발 집없는제게..좋은정보 부탁드려요.집없는게 참 서럽네요 ㅠ.ㅠ"
23800,2020-12,1인가구 은행권전세자금대출 질문이요.,"40대초반 1인가구 은행권 전세자금 대출을 알아보고 있어요. 직장인이구요. 회사다닌지는 2년됐으나 4대보험가입은 1년됐구요. 6개월은 전 사장님 사업자로해서 4대보험을 가입했었는데 올 4월말에 사업을 다른분으로 넘기는바람에 새로운사장님 사업자로 새로 가입해서 7개월째 다니고 있어요. 그러니까 사업자가 각각 따로 6개월, 7개월 그래요 ㅠ.ㅠ연봉은 2천만원정도 되고요.신용등급은 나이스지킴이로 알아보니 4등급이에요.저축은행 쪽에 신용대출 2,300만원있구요.은행권 전세자금 대출이 가능한가요??그리고 전세자금대출 알아보는 방법도 알려주세요.제가 처음으로 알아보는거라서 잘 모르거든요.지금은 오피스텔에 월세로 거주하고 있어요.한달씩 나가는 돈이 너무 부담되고, 뭔가 버려지는 돈 같은 느낌들어서 전세자금대출받아서 집 얻어서 적금부으는게 나은것같아서요 ㅠ.ㅠ 제발 집없는제게..좋은정보 부탁드려요.집없는게 참 서럽네요 ㅠ.ㅠ","대출을 알아 보실수 있는 곳입니다 전국에 돈을 빌리려는 사람과 돈을 빌려주는 사람이 서로 연결될 수 있도록 온라인 시장과 같은 서비스를 제공해 주거든요.지식인에서 무작정 구하면 위험하기도 하고 본인인증 회원가입체계가 있는 직거래업체가 그나마 안전할 것 같아요.잘 찾아보시면 회원가입이나 빌리는 글 그리고 수수료 또한 무료인곳도 있고 실시간으로 정보를 주고받을수 있으니 원하시는 대출을 찾을 수 있을거에요.제발 '정식등록'된 업체 혹은 업자인지 고객센터 또는 금융감독원 홈페이지를 통해 우선적으로 확인하시구요, 불법 핸드폰 대출이나 선입금 사기에도 유의하세요.가장 오랫동안 운영되고 있고 회원가입체계가 갖춰져 있는 대출 직거래 전문업체를 통해 진행해보시면 도움이 되실겁니다","1인가구 은행권전세자금대출 질문이요._40대초반 1인가구 은행권 전세자금 대출을 알아보고 있어요. 직장인이구요. 회사다닌지는 2년됐으나 4대보험가입은 1년됐구요. 6개월은 전 사장님 사업자로해서 4대보험을 가입했었는데 올 4월말에 사업을 다른분으로 넘기는바람에 새로운사장님 사업자로 새로 가입해서 7개월째 다니고 있어요. 그러니까 사업자가 각각 따로 6개월, 7개월 그래요 ㅠ.ㅠ연봉은 2천만원정도 되고요.신용등급은 나이스지킴이로 알아보니 4등급이에요.저축은행 쪽에 신용대출 2,300만원있구요.은행권 전세자금 대출이 가능한가요??그리고 전세자금대출 알아보는 방법도 알려주세요.제가 처음으로 알아보는거라서 잘 모르거든요.지금은 오피스텔에 월세로 거주하고 있어요.한달씩 나가는 돈이 너무 부담되고, 뭔가 버려지는 돈 같은 느낌들어서 전세자금대출받아서 집 얻어서 적금부으는게 나은것같아서요 ㅠ.ㅠ 제발 집없는제게..좋은정보 부탁드려요.집없는게 참 서럽네요 ㅠ.ㅠ"
21986,2020-09,전세자금대출로 집을알아봤는데요,안녕하세요부동선울 통해 전세집을 알아보다..한군데 맘에드는 곳이있어부동산에 선약금 약간 걸고 왔는데여다가구주택이구...아직 준공전이라..건물은 다 지어져있어서등기는 아직 없는상태이구요.다음주 중으로 준공이완료되어 등기가 나온답니다.헌데...등기가 나오고...계약서 작성해서 은행가기로 이야기가되었는데여....그건물이 곳 lh로 넘어간다는 소리를 하는겁니다건물통으로 집주인인데 감정가가 8억정도인데융자는 3~4억 있어서 은행에 대출하러갈시에 융자때메 태클을 걸수도 잇다고하던데.....그것만 신경안쓰신다면 신축건물에 제가 1순위로 입주하는거구요 자꾸 쫌잇다가 lh넘어가니 이리 안전한데가 어디잇나요라고 부동산에서 말을합니다. 그래서 계약서 작성할때조건을.....딱 지정한 은행 한군데서 대출 한도가안나오거나은행자체에서 거긴안된다고하면....돈 돌려받는걸루 명시해달라고 할텐데 사기치는건 아니겠죠?그집은 맘에드는데 확실하게 그집이 안전한지 확인할 좋은 방법이 있을까여? 다음주정도에 계약서를 작성할 예정입니다ㅡ,건물 등기 나오면 등기부 가지고 은행가서 먼저 알아보세요엘에이치 에 넘어가는건 넘어가야 넘어가는거고다가구주택이면 경우에 따라 불법개조가 있을수도 있으니등기부가 나오기전에는 모릅니다근생일수도 있구요​융자가 있어도 본인이 1순위면 어느정도는 안전할거 같지만전세금안심보험을 들수있는지도 확인하시고안심보험 들수있으면 안전할겁니다,전세자금대출로 집을알아봤는데요_안녕하세요부동선울 통해 전세집을 알아보다..한군데 맘에드는 곳이있어부동산에 선약금 약간 걸고 왔는데여다가구주택이구...아직 준공전이라..건물은 다 지어져있어서등기는 아직 없는상태이구요.다음주 중으로 준공이완료되어 등기가 나온답니다.헌데...등기가 나오고...계약서 작성해서 은행가기로 이야기가되었는데여....그건물이 곳 lh로 넘어간다는 소리를 하는겁니다건물통으로 집주인인데 감정가가 8억정도인데융자는 3~4억 있어서 은행에 대출하러갈시에 융자때메 태클을 걸수도 잇다고하던데.....그것만 신경안쓰신다면 신축건물에 제가 1순위로 입주하는거구요 자꾸 쫌잇다가 lh넘어가니 이리 안전한데가 어디잇나요라고 부동산에서 말을합니다. 그래서 계약서 작성할때조건을.....딱 지정한 은행 한군데서 대출 한도가안나오거나은행자체에서 거긴안된다고하면....돈 돌려받는걸루 명시해달라고 할텐데 사기치는건 아니겠죠?그집은 맘에드는데 확실하게 그집이 안전한지 확인할 좋은 방법이 있을까여? 다음주정도에 계약서를 작성할 예정입니다ㅡ
21987,2020-09,전세자금대출로 집을알아봤는데요,안녕하세요부동선울 통해 전세집을 알아보다..한군데 맘에드는 곳이있어부동산에 선약금 약간 걸고 왔는데여다가구주택이구...아직 준공전이라..건물은 다 지어져있어서등기는 아직 없는상태이구요.다음주 중으로 준공이완료되어 등기가 나온답니다.헌데...등기가 나오고...계약서 작성해서 은행가기로 이야기가되었는데여....그건물이 곳 lh로 넘어간다는 소리를 하는겁니다건물통으로 집주인인데 감정가가 8억정도인데융자는 3~4억 있어서 은행에 대출하러갈시에 융자때메 태클을 걸수도 잇다고하던데.....그것만 신경안쓰신다면 신축건물에 제가 1순위로 입주하는거구요 자꾸 쫌잇다가 lh넘어가니 이리 안전한데가 어디잇나요라고 부동산에서 말을합니다. 그래서 계약서 작성할때조건을.....딱 지정한 은행 한군데서 대출 한도가안나오거나은행자체에서 거긴안된다고하면....돈 돌려받는걸루 명시해달라고 할텐데 사기치는건 아니겠죠?그집은 맘에드는데 확실하게 그집이 안전한지 확인할 좋은 방법이 있을까여? 다음주정도에 계약서를 작성할 예정입니다ㅡ,"안녕하세요 질문자님. 전세자금대출 관련하여 혹시 도움이 될까싶어 제가 알고있는 정보 공유합니다.​'토핑머니'이라는 네트워크인데 간략히 질문자님의 조건만 입력하시면 개인 맞춤형 대출상품을 찾아주는 서비스입니다.  어렵게 발품팔지 마시구요, 웹상에서 간편하게 이용해보시면 좋을 듯 합니다.  아래에 링크남기고 가겠습니다.  잘 살펴보시고 승인받으셨으면 좋겠네요.",전세자금대출로 집을알아봤는데요_안녕하세요부동선울 통해 전세집을 알아보다..한군데 맘에드는 곳이있어부동산에 선약금 약간 걸고 왔는데여다가구주택이구...아직 준공전이라..건물은 다 지어져있어서등기는 아직 없는상태이구요.다음주 중으로 준공이완료되어 등기가 나온답니다.헌데...등기가 나오고...계약서 작성해서 은행가기로 이야기가되었는데여....그건물이 곳 lh로 넘어간다는 소리를 하는겁니다건물통으로 집주인인데 감정가가 8억정도인데융자는 3~4억 있어서 은행에 대출하러갈시에 융자때메 태클을 걸수도 잇다고하던데.....그것만 신경안쓰신다면 신축건물에 제가 1순위로 입주하는거구요 자꾸 쫌잇다가 lh넘어가니 이리 안전한데가 어디잇나요라고 부동산에서 말을합니다. 그래서 계약서 작성할때조건을.....딱 지정한 은행 한군데서 대출 한도가안나오거나은행자체에서 거긴안된다고하면....돈 돌려받는걸루 명시해달라고 할텐데 사기치는건 아니겠죠?그집은 맘에드는데 확실하게 그집이 안전한지 확인할 좋은 방법이 있을까여? 다음주정도에 계약서를 작성할 예정입니다ㅡ
888,2020-03,전세자금대출,국민안심전세대출 받아서 1억2500백 오피스텔 입주해 있는데요 이번에 임대인이 바뀌면서 1억 3000에 재계약 하실테냐 의사인데 이분이 급매로 매매 하기를 1억3400에 했다네여 ㅎㅎㅎㅎㅎ 구럼 깡통이잖아요 오월이 만기인데 이지역은 전세매물이 거의 없고 있다하더라도 대부분 전세금들이 매매가랑 맞먹어요 월세들어가 사는게 안전하겠죠ㅠㅠ 그리고 국민에서 자금대출 받을때 보증보험도 가입필수라 들긴 했는데 만약 이 집이 경매에 넘어갔다 깡통인데도....은행 대출금+ 제 개인 보증금 다 보험 보장 가능 한건가요? 보험가입으로 안전하다하면 일년 재계약해서 살고 싶은데 이번에 연장신청할때 대출 불이익은 없는건지 ㅠㅠㅠㅠㅠㅠㅠ 여러모로 너무 안좋은 조건이다 하면 월세로 가야 하는데 너무 답답합니다ㅠㅠㅠ,불안정하다면 이사하는게 맞습니다​공인중개사 통해서 정확히 알아보시고​결정하심을 권유드립니다​그 돈이 한두푼이 아니잖습니까...​,전세자금대출_국민안심전세대출 받아서 1억2500백 오피스텔 입주해 있는데요 이번에 임대인이 바뀌면서 1억 3000에 재계약 하실테냐 의사인데 이분이 급매로 매매 하기를 1억3400에 했다네여 ㅎㅎㅎㅎㅎ 구럼 깡통이잖아요 오월이 만기인데 이지역은 전세매물이 거의 없고 있다하더라도 대부분 전세금들이 매매가랑 맞먹어요 월세들어가 사는게 안전하겠죠ㅠㅠ 그리고 국민에서 자금대출 받을때 보증보험도 가입필수라 들긴 했는데 만약 이 집이 경매에 넘어갔다 깡통인데도....은행 대출금+ 제 개인 보증금 다 보험 보장 가능 한건가요? 보험가입으로 안전하다하면 일년 재계약해서 살고 싶은데 이번에 연장신청할때 대출 불이익은 없는건지 ㅠㅠㅠㅠㅠㅠㅠ 여러모로 너무 안좋은 조건이다 하면 월세로 가야 하는데 너무 답답합니다ㅠㅠㅠ
1010,2020-04,전세자금대출,시세 약10억채권최고액 약 4억1층상가 전세15002층 전세5003층 1억4천세입자들이 살고있는곳에제가 전세 5000에 들어가려고하는데안전한가요?전세자금대출 이나 중소기업 청년대출 80%받아들어가려고하는데나중에 전세금받기 어려워지는 상황은 안생기겠죠..?,"NAVER 지식in 진심으로 도움되는 답변을 드리고자 노력하는 진실된 지식인입니다.질문자님에 답변이 복사글이 아닌 수기 답변이심을 인지 부탁드리고요.. **시중금융권에 대출업무를 보고 있습니다..밑에 어느정도 답변을 드리지만 항상 대출에 있어서 금융시스템은 동일하신 만큼 가장 중요하신 것은 실질적인 상담과 질문자님과 어떤 방향이 최선이 되실지 전체적인 금융권 틀안에서 제가 아는 지식내에서 의논 상담통해 진실된 방향을 제시통해 가장 중요하신 만큼 최선을 다해 좋은 인연이 되드렸으면 합니다.<<무조건 가능하다(무조건 최저금리)원론적인 제시보다는 질문자님에 방향에 최적에 방향을 제시를 해드리고자 합니다..꾸벅**>><< 답변>>일단  감정가는  어느정도 나올지가 관건이네요...말씀하신대로 말하시면 괜찮지만 감정가는 어느정도 나올실지는  감정이 필요하실듯 하세요....가급적 전세대출을 알아보실 때 구하려는 주소지에 건물융자액과 전세금액이 시세에 75%~80%넘지 않는 것이 안전하시고 대출을 받으실 때 용아하세요이점 인지하시고요. .글로서는 제약적인 부분이 많은 만큼 궁금한점 언제든지 문의주시면 (네임키드 참고하시거나 일대일 질문주시면) 금융권직원으로서 고객님에 입장에 영업적으로 무턱대고 가능하다는 식에 답변보다는 진실된 답변과 고객님이 좋은 조건에 대출진행에 길을 안내해드릴수 있도록 노력하는 모습을 꼭 보여드리고자 합니다.핸드폰으로 접속하셨다면 ""pc버전""으로 확인하셔야 네임키드 확인이 가능하세요..`",전세자금대출_시세 약10억채권최고액 약 4억1층상가 전세15002층 전세5003층 1억4천세입자들이 살고있는곳에제가 전세 5000에 들어가려고하는데안전한가요?전세자금대출 이나 중소기업 청년대출 80%받아들어가려고하는데나중에 전세금받기 어려워지는 상황은 안생기겠죠..?
